,importance
IDX_IMPORTANCE,0.08027152744686489
IDX_TRAD,0.0704778507510296
imp_innovation,0.05989595820182024
IDX_FIN,0.05822598172268452
imp_brand,0.05097133011489059
imp_branch,0.05059737809290887
imp_cashback,0.047037216847300695
fin_trust,0.04519990437910661
prov_Banca tradizionale,0.042122047443079576
imp_app,0.038962177815098566
trad_ux,0.03777153361919229
trad_innov,0.037545431705227866
imp_onboarding,0.03753406353785503
prov_Neobanca/Fintech,0.035819329641480054
trad_trust,0.03467416695193761
trad_service,0.031135067321833906
trad_fees,0.02914055219645638
fin_fees,0.02912341535907507
fin_ux,0.027829389548629825
imp_no_fees,0.023979842928235833
age_22-25,0.021662803006132186
age_18-21,0.020023818143192804
age_26-30,0.01713831096534227
use_nessuno,0.015986627890213538
use_conti_pagamenti,0.015768779099360464
use_credito_bnpl,0.014645328545440709
use_invest_trading,0.011801396846593459
prov_Poste,0.008304817344879027
use_risparmio_budgeting,0.00635395253413758
