,perm_imp_mean
imp_brand,0.07886666666666664
Neobanca/Fintech,0.06926666666666666
IDX_TRAD,0.054400000000000004
IDX_IMPORTANCE,0.05086666666666667
trad_service,0.038400000000000004
Banca tradizionale,0.037466666666666655
imp_innovation,0.029933333333333333
imp_onboarding,0.02893333333333333
trad_innov,0.01666666666666668
fin_fees,0.01666666666666668
fin_trust,0.01660000000000001
imp_cashback,0.015666666666666672
trad_fees,0.01286666666666667
imp_app,0.010266666666666669
trad_ux,0.009266666666666673
trad_trust,0.008933333333333338
IDX_FIN,0.008666666666666678
imp_branch,0.005866666666666664
use_credito_bnpl,0.005066666666666669
imp_no_fees,0.0030000000000000027
use_risparmio_budgeting,0.0020000000000000018
fin_ux,0.0012666666666666492
22-25,0.00046666666666665414
26-30,0.0
18-21,0.0
Poste,0.0
use_conti_pagamenti,0.0
use_invest_trading,0.0
use_nessuno,0.0
